Date,KMB IB Equity,HCLT IB Equity,NTPC IB Equity,NEST IB Equity,BHARTI IB Equity,RELIANCE IB Equity,TCS IB Equity,ITC IB Equity,MM IB Equity,UTCEM IB Equity,TATA IB Equity,SUNP IB Equity,WPRO IB Equity,HUVR IB Equity,INFO IB Equity,MSIL IB Equity,BAF IB Equity,HDFCB IB Equity,ICICIBC IB Equity,APNT IB Equity,SBIN IB Equity,TTAN IB Equity,TTMT IB Equity,IIB IB Equity,JSTL IB Equity,LT IB Equity,AXSB IB Equity
2020-10-08,1321.15,849.55,82.55,16300.9,416.68,2039.7,2824.8,167.2,634.05,4344.4,37.36,524.05,359.45,2160.95,1094.0,7082.45,3325.8,1191.9,387.55,2090.6,191.5,1254.25,140.9,617.35,292.95,881.0,451.75
2020-10-09,1320.05,856.0,82.9,16045.0,417.31,2034.96,2814.95,167.85,633.35,4298.0,36.98,513.15,374.1,2138.85,1107.55,7061.65,3317.7,1233.7,401.65,2050.4,198.25,1254.9,138.45,622.9,292.05,908.35,468.2
2020-10-12,1312.8,866.35,82.7,15900.6,407.6,2037.6,2831.2,172.2,634.05,4304.4,37.1,513.85,377.55,2138.05,1132.3,7137.55,3325.1,1213.4,403.85,2076.9,198.65,1257.1,135.85,613.9,285.2,905.5,467.95
2020-10-13,1344.3,900.45,82.7,15671.55,407.7,2077.37,2825.65,170.2,628.15,4382.2,36.75,503.2,375.75,2137.25,1158.0,7031.85,3273.2,1198.15,396.15,2064.75,195.65,1229.75,134.1,608.5,289.85,896.5,461.15
2020-10-14,1354.25,890.1,79.1,15669.4,405.73,2083.84,2809.8,167.85,623.85,4448.9,37.56,502.0,350.15,2158.2,1136.1,7006.5,3371.5,1210.85,406.8,2071.3,200.05,1223.35,130.7,622.75,290.65,915.0,470.9
2020-10-15,1309.0,859.45,78.95,15592.8,391.79,2009.31,2738.7,165.05,617.05,4382.15,37.38,490.4,341.5,2150.15,1108.0,6885.2,3213.7,1169.15,390.9,2089.4,192.85,1213.35,127.0,598.2,291.35,888.95,462.75
2020-10-16,1336.55,827.1,80.35,15434.2,394.15,1981.94,2762.5,165.75,606.45,4479.75,39.39,486.85,339.55,2150.75,1127.6,6897.05,3230.15,1199.0,395.95,2061.75,195.8,1223.1,127.7,608.05,310.9,894.2,472.25
2020-10-19,1376.8,844.65,81.75,16089.65,389.93,1982.21,2711.45,168.3,597.4,4516.4,39.53,483.6,343.25,2178.8,1125.55,6851.6,3266.9,1203.35,417.05,2070.6,204.05,1228.75,128.25,626.85,313.55,903.0,493.15
2020-10-20,1368.85,880.05,80.6,16252.65,397.39,1963.72,2738.4,167.5,602.25,4547.4,39.2,486.4,346.75,2172.1,1137.05,6849.0,3262.1,1224.15,414.55,2119.3,203.0,1233.0,129.65,625.15,318.75,917.3,493.7
2020-10-21,1393.85,870.7,82.3,16015.7,411.33,1934.34,2675.45,167.65,600.4,4629.6,40.39,489.7,343.5,2163.4,1148.3,6862.85,3233.25,1247.05,420.35,2114.35,203.85,1244.95,130.25,628.3,322.0,924.65,501.5
2020-10-22,1393.25,867.1,84.85,15911.25,422.71,1919.62,2670.8,168.55,605.05,4612.4,41.0,485.65,344.55,2179.35,1130.15,6806.25,3313.15,1232.95,412.95,2100.25,203.3,1229.6,133.45,608.8,325.75,936.25,510.55
2020-10-23,1383.05,852.25,86.25,15863.0,426.35,1924.59,2686.45,170.7,625.05,4503.55,42.34,484.35,342.4,2144.05,1122.0,7108.45,3317.35,1235.7,416.85,2119.4,202.75,1241.9,137.0,607.45,321.05,941.2,507.15
2020-10-26,1415.75,848.15,85.9,16256.2,426.05,1848.2,2687.65,168.55,596.75,4482.15,40.81,474.45,339.7,2168.0,1112.1,7054.45,3292.6,1213.0,404.95,2080.7,196.75,1216.0,133.65,616.3,308.15,951.65,493.25
2020-10-27,1588.0,847.45,89.45,17233.25,425.02,1853.21,2631.45,167.2,596.95,4567.45,41.1,470.7,334.15,2176.1,1092.15,7158.6,3453.75,1233.3,409.85,2198.15,194.6,1232.65,135.7,613.95,308.95,982.45,508.45
2020-10-28,1552.2,829.6,88.1,17119.95,443.13,1831.8,2621.75,165.55,603.95,4465.2,40.23,463.35,335.6,2164.45,1076.6,7182.45,3370.35,1205.35,396.15,2159.2,190.5,1217.9,134.8,592.75,305.7,983.65,504.85
2020-10-29,1571.05,839.85,86.45,16861.45,442.49,1846.24,2633.7,163.85,591.85,4575.25,40.13,456.75,337.55,2121.55,1074.8,7114.0,3379.6,1188.05,399.9,2224.8,188.8,1177.5,131.9,588.7,306.9,934.6,493.7
2020-10-30,1547.6,843.2,87.6,17162.8,425.61,1871.57,2664.85,165.25,593.85,4573.85,41.04,465.75,340.65,2072.3,1060.6,6956.2,3307.65,1183.45,392.55,2213.05,189.25,1164.9,132.7,585.6,308.9,929.6,492.4
2020-11-02,1581.05,822.2,89.25,17110.2,449.12,1710.27,2603.85,166.7,595.85,4551.3,40.28,469.2,334.9,2073.8,1072.0,6863.35,3415.3,1215.5,417.1,2172.05,196.0,1168.8,132.85,627.15,309.45,929.2,522.6
