Date,OR FP Equity,DG FP Equity,TTE FP Equity,AI FP Equity,DSY FP Equity,CS FP Equity,ERF FP Equity,BNP FP Equity,BN FP Equity,CAP FP Equity,CA FP Equity,SGO FP Equity,EL FP Equity,MC FP Equity,ML FP Equity,KER FP Equity,PUB FP Equity,RNO FP Equity,SAF FP Equity,HO FP Equity,TEP FP Equity,RMS FP Equity,ORA FP Equity,MT NA Equity,EN FP Equity,ALO FP Equity,VIE FP Equity,SAN FP Equity,GLE FP Equity,SU FP Equity,AIR FP Equity,ACA FP Equity,RI FP Equity,STMPA FP Equity
2022-05-13,332.45,92.55,51.08,147.6364,38.105,23.005,84.18,52.38,56.17,184.25,21.03,53.65,149.6,581.3,30.075,460.1,54.94,23.6,96.53,113.95,314.7,1070.0,11.666,26.445,31.2,23.27,25.98,99.79,23.34,129.48,106.36,10.286,188.35,37.88
2022-05-16,327.8,92.56,51.71,145.2364,37.925,23.04,84.66,52.31,56.6,184.95,21.17,53.1,149.3,575.0,30.1875,460.75,55.26,23.59,96.48,116.05,310.9,1065.0,11.722,27.15,31.69,22.84,25.82,100.0,23.21,127.62,105.84,10.254,191.25,37.145
2022-05-17,328.25,92.93,52.33,148.1818,38.14,23.585,85.0,53.5,55.94,187.6,21.03,53.92,150.8,590.1,29.125,470.35,55.98,24.25,98.62,115.45,310.8,1090.5,11.726,27.61,32.05,23.45,26.23,99.92,24.05,128.92,108.28,10.534,189.0,38.145
2022-05-18,316.0,92.41,52.18,147.0545,37.17,23.42,83.2,53.34,55.49,181.9,20.1,53.69,146.55,578.5,28.5125,463.3,54.94,23.81,97.91,114.55,305.8,1069.0,11.688,27.565,32.02,23.93,25.83,100.92,23.98,126.22,107.94,10.464,184.3,37.36
2022-05-19,308.65,90.76,51.53,145.0909,37.78,23.045,85.66,53.19,54.11,178.35,19.46,52.43,145.65,568.5,28.8375,454.1,54.42,24.115,95.88,113.3,303.7,1055.0,11.548,27.13,31.86,23.92,25.18,100.06,24.475,124.84,106.4,10.372,177.9,37.345
2022-05-20,307.8,90.96,51.71,145.5636,38.24,23.12,85.5,53.71,54.87,180.75,19.105,51.96,146.6,556.6,29.075,450.35,54.6,24.175,96.01,113.8,305.9,1034.5,11.582,27.4,31.8,23.96,25.87,102.3,24.495,125.62,106.92,10.394,177.0,36.795
2022-05-23,313.6,89.86,53.29,147.8727,38.555,23.425,84.96,52.12,55.15,184.0,19.36,53.09,148.95,560.9,29.4625,455.0,54.44,24.28,96.13,115.7,306.1,1039.5,11.696,28.525,32.03,24.33,26.18,103.7,25.535,127.54,107.18,10.784,180.75,36.845
2022-05-24,308.3,88.81,52.45,146.2182,37.22,23.365,85.08,51.68,54.38,181.65,19.15,52.18,146.3,551.8,29.1125,446.9,50.4,23.86,92.09,116.05,298.0,1030.5,11.814,28.04,32.15,23.96,25.58,103.62,25.465,124.06,102.74,10.724,176.65,35.58
2022-05-25,307.45,89.55,53.95,146.4182,37.655,23.635,85.0,51.87,54.96,182.45,19.16,53.15,147.2,551.0,29.4875,452.1,50.6,24.39,94.72,115.65,297.1,1020.5,11.76,28.55,32.46,24.52,26.11,103.72,24.87,123.0,104.76,10.86,178.2,35.785
2022-05-26,311.95,92.09,55.12,147.3636,38.18,23.96,85.0,52.7,54.56,184.35,19.28,54.27,148.45,571.2,30.0125,467.7,51.56,25.31,98.58,117.45,302.6,1045.5,11.78,29.49,32.76,24.85,26.46,103.6,24.905,125.18,109.06,11.158,178.25,36.385
