Date,Close,Trade Signal
2018-04-05,1055.0333251953125,1
2018-04-06,1045.7293701171875,0
2018-04-09,1039.847900390625,0
2018-04-10,1043.1260986328125,0
2018-04-11,1030.3990478515625,0
2018-04-12,1026.3013916015625,0
2018-04-13,1025.5301513671875,-1
2018-04-16,1053.2498779296875,1
2018-04-17,1055.515380859375,0
2018-04-18,1053.6837158203125,0
2018-04-19,1064.5787353515625,0
2018-04-20,1061.3486328125,0
2018-04-23,1046.2113037109375,0
2018-04-24,1041.6798095703125,0
2018-04-25,1024.276611328125,0
2018-04-26,1030.881103515625,0
2018-04-27,1047.8505859375,0
2018-04-30,1054.5030517578125,0
2018-05-02,1056.4798583984375,0
2018-05-03,1048.5252685546875,0
2018-05-04,1035.4127197265625,0
2018-05-07,1038.4017333984375,0
2018-05-08,1053.442626953125,0
2018-05-09,1055.7083740234375,0
2018-05-10,1053.87646484375,0
2018-05-11,1061.300537109375,0
2018-05-14,1060.6737060546875,0
2018-05-15,1050.4052734375,0
2018-05-16,1043.608154296875,0
2018-05-17,1044.37939453125,0
2018-05-18,1024.7587890625,-1
2018-05-21,998.7264404296876,0
2018-05-22,1002.24560546875,0
2018-05-23,1009.8142700195312,0
2018-05-24,985.0835571289062,0
2018-05-25,993.7127685546876,0
2018-05-28,1022.3485107421876,0
2018-05-29,1019.8896484375,0
2018-05-30,1004.173828125,0
2018-05-31,1002.5348510742188,0
2018-06-01,991.832763671875,0
2018-06-04,997.7622680664062,0
2018-06-05,987.542236328125,0
2018-06-06,997.0391845703124,0
2018-06-07,1006.1986694335938,0
2018-06-08,991.7362670898438,0
2018-06-11,1011.50146484375,1
2018-06-12,1001.5707397460938,0
2018-06-13,999.8351440429688,0
2018-06-14,999.0638427734376,0
2018-06-15,994.8215942382812,0
2018-06-18,983.5408935546876,0
2018-06-19,973.8993530273438,-1
2018-06-20,980.8411254882812,0
2018-06-21,975.6830444335938,0
2018-06-22,974.1885375976562,0
2018-06-25,970.4765014648438,0
2018-06-26,999.5460205078124,1
2018-06-27,988.9884033203124,0
2018-06-28,967.6322021484376,0
2018-06-29,970.7656860351562,0
2018-07-02,951.9163818359376,-1
2018-07-03,950.518310546875,0
2018-07-04,930.8494873046876,0
2018-07-05,933.8866577148438,0
2018-07-06,953.12158203125,0
2018-07-09,948.7828979492188,0
2018-07-10,955.1463623046876,0
2018-07-11,943.7210693359376,0
2018-07-12,925.7876586914062,0
2018-07-13,901.8282470703124,0
2018-07-16,895.41650390625,0
2018-07-17,907.0346069335938,0
2018-07-18,909.7825317382812,0
2018-07-19,902.2138671875,0
2018-07-20,905.44384765625,0
2018-07-23,888.378173828125,0
2018-07-24,963.7273559570312,1
2018-07-25,950.47021484375,0
2018-07-26,987.493896484375,0
2018-07-27,988.6991577148438,0
2018-07-30,984.2157592773438,0
2018-07-31,988.4581298828124,0
2018-08-01,993.4234619140624,0
2018-08-02,977.8523559570312,0
2018-08-03,970.1389770507812,0
2018-08-06,963.582763671875,0
2018-08-07,982.335693359375,0
2018-08-08,972.93505859375,0
2018-08-09,961.606201171875,0
2018-08-10,936.5379028320312,-1
2018-08-13,951.4824829101562,0
2018-08-14,951.2415161132812,0
2018-08-16,963.6309204101562,0
2018-08-17,1008.3681640625,1
2018-08-20,1002.5830688476562,0
2018-08-21,1027.2174072265625,0
2018-08-23,1008.0787963867188,0
2018-08-24,1022.3002319335938,0
2018-08-27,1039.7998046875,0
2018-08-28,1033.6773681640625,0
2018-08-29,1036.473388671875,0
2018-08-30,1035.509033203125,0
2018-08-31,1035.21826171875,0
2018-09-03,1033.715087890625,0
2018-09-04,992.2095336914062,0
2018-09-05,997.0097045898438,-1
2018-09-06,999.72509765625,0
2018-09-07,994.3428955078124,0
