Date,Close Price,Trading Signal
2023-06-27,2296.11181640625,1.0
2023-06-28,2326.509521484375,1.0
2023-06-30,2345.59423828125,-1.0
2023-07-03,2405.7919921875,-1.0
2023-07-04,2381.004638671875,-1.0
2023-07-05,2377.095703125,-1.0
2023-07-06,2426.9921875,-1.0
2023-07-07,2422.255615234375,-1.0
2023-07-10,2515.564208984375,-1.0
2023-07-11,2542.834716796875,-1.0
2023-07-12,2545.639892578125,-1.0
2023-07-13,2522.876220703125,-1.0
2023-07-14,2520.7607421875,1.0
2023-07-17,2572.266845703125,1.0
2023-07-18,2594.11083984375,-1.0
2023-07-19,2613.79345703125,-1.0
2023-07-20,2610.628173828125,-1.0
2023-07-21,2529.8134765625,-1.0
2023-07-24,2478.644287109375,1.0
2023-07-25,2477.050048828125,1.0
2023-07-26,2517.3076171875,1.0
2023-07-27,2493.890380859375,-1.0
2023-07-28,2518.9521484375,1.0
2023-07-31,2540.276611328125,-1.0
2023-08-01,2504.353515625,-1.0
2023-08-02,2477.59814453125,1.0
2023-08-03,2467.184814453125,1.0
2023-08-04,2500.71630859375,1.0
2023-08-07,2514.966064453125,-1.0
2023-08-08,2499.8193359375,-1.0
2023-08-09,2516.311279296875,-1.0
2023-08-10,2527.521728515625,-1.0
2023-08-11,2538.183837890625,-1.0
2023-08-14,2568.177978515625,-1.0
2023-08-16,2566.08544921875,-1.0
2023-08-17,2529.066162109375,-1.0
2023-08-18,2547.800048828125,-1.0
2023-08-21,2520.0,-1.0
2023-08-22,2519.39990234375,1.0
2023-08-23,2522.199951171875,-1.0
2023-08-24,2479.800048828125,-1.0
2023-08-25,2468.35009765625,-1.0
2023-08-28,2443.75,-1.0
2023-08-29,2420.35009765625,1.0
2023-08-30,2418.050048828125,1.0
2023-08-31,2407.0,-1.0
2023-09-01,2412.64990234375,-1.0
2023-09-04,2410.699951171875,-1.0
2023-09-05,2423.60009765625,-1.0
2023-09-06,2428.699951171875,-1.0
2023-09-07,2432.0,-1.0
2023-09-08,2448.199951171875,-1.0
2023-09-11,2474.60009765625,-1.0
2023-09-12,2438.85009765625,-1.0
2023-09-13,2451.050048828125,-1.0
2023-09-14,2453.300048828125,-1.0
2023-09-15,2457.85009765625,-1.0
2023-09-18,2436.449951171875,-1.0
2023-09-20,2382.14990234375,-1.0
2023-09-21,2364.800048828125,1.0
2023-09-22,2354.949951171875,1.0
2023-09-25,2340.449951171875,1.0
2023-09-26,2342.5,1.0
2023-09-27,2368.89990234375,1.0
2023-09-28,2334.10009765625,-1.0
2023-09-29,2345.0,-1.0
2023-10-03,2318.14990234375,-1.0
2023-10-04,2314.14990234375,1.0
2023-10-05,2314.10009765625,1.0
2023-10-06,2318.0,1.0
2023-10-09,2298.25,1.0
2023-10-10,2308.39990234375,1.0
2023-10-11,2345.050048828125,-1.0
2023-10-12,2349.39990234375,-1.0
2023-10-13,2349.300048828125,-1.0
2023-10-16,2344.050048828125,-1.0
2023-10-17,2355.25,-1.0
2023-10-18,2324.0,-1.0
2023-10-19,2306.14990234375,1.0
2023-10-20,2299.10009765625,1.0
2023-10-23,2263.199951171875,1.0
2023-10-25,2257.949951171875,1.0
2023-10-26,2226.5,1.0
2023-10-27,2265.800048828125,1.0
2023-10-30,2312.5,-1.0
2023-10-31,2287.89990234375,-1.0
2023-11-01,2297.39990234375,-1.0
2023-11-02,2320.199951171875,-1.0
2023-11-03,2319.699951171875,-1.0
2023-11-06,2339.0,-1.0
2023-11-07,2323.800048828125,-1.0
2023-11-08,2335.89990234375,-1.0
2023-11-09,2310.550048828125,-1.0
2023-11-10,2314.89990234375,1.0
2023-11-13,2314.60009765625,1.0
2023-11-15,2356.449951171875,1.0
2023-11-16,2360.699951171875,-1.0
