Date,OR FP Equity,DG FP Equity,STLAP FP Equity,TTE FP Equity,AI FP Equity,DSY FP Equity,CS FP Equity,ERF FP Equity,BNP FP Equity,BN FP Equity,CAP FP Equity,CA FP Equity,SGO FP Equity,EL FP Equity,MC FP Equity,ML FP Equity,EDEN FP Equity,KER FP Equity,PUB FP Equity,RNO FP Equity,SAF FP Equity,HO FP Equity,TEP FP Equity,RMS FP Equity,ENGI FP Equity,ORA FP Equity,MT NA Equity,EN FP Equity,ALO FP Equity,VIE FP Equity,SAN FP Equity,GLE FP Equity,SU FP Equity,AIR FP Equity,LR FP Equity,URW FP Equity,ACA FP Equity,RI FP Equity,STMPA FP Equity,WLN FP Equity
02-06-2015,169.65,54.76,#N/A N/A,46.155,84.9244,14.26,22.94,27.99,55.53,62.58,78.88,30.68,42.095,110.4,165.1,24.4,22.425,148.22,71.98,94.37,64.4,56.5,67.7,363.35,18.085,14.635,23.2632,35.345,26.0976,18.2759,89.1542,42.755,67.24,61.51,50.86,229,13.83,108.85,7.761,19.2
03-06-2015,170.55,54.29,#N/A N/A,46.375,85.7659,14.134,22.98,28.32,56.77,63.05,79.52,30.78,42.41,111.55,165.55,24.5875,22.84,150.17,71.73,95.37,63.65,56.67,66.66,362.3,18.11,14.6,23.9728,35.2,26.6679,18.541,90.6261,43.31,68.03,61.43,51.49,225.2,13.855,107.85,7.684,19.35
04-06-2015,170,53.77,#N/A N/A,45.5,84.8512,14.014,22.755,27.785,56.34,62.38,78.76,30.68,42.445,111,163.45,24.29,22.675,148.73,69.53,93.43,63.12,56.25,65,350.45,17.835,14.505,23.2632,35.075,26.1486,18.2373,90.656,43.02,67.29,60.77,51.04,231.05,13.655,107.05,7.665,19.51
05-06-2015,166.65,53.3,#N/A N/A,45.555,83.4242,13.81,22.405,27.145,55.3,61.17,77.68,30.305,42.59,108.75,160.3,24.14,22.385,145.85,68.84,92.3,61.72,55.44,63.8,346.6,17.635,14.26,23.005,34.885,26.0744,17.9047,88.6569,42.3,67.09,59.66,50.95,224.7,13.395,105,7.64,19.38
08-06-2015,165.85,52.63,#N/A N/A,44.185,82.5826,13.58,22.12,26.865,54.63,60.79,76.93,29.805,42.53,107.65,160.25,23.9025,22.375,144.78,68.45,90.41,61.23,55.23,63.23,344.35,17.39,13.63,22.5979,34.235,25.5922,17.6395,87.6126,42.015,66,59.15,50.61,223.1,13.15,104.9,7.619,19.445
09-06-2015,164.7,52.25,#N/A N/A,44.08,82.8388,13.654,22.155,26.7,54.39,60.47,77.73,29.805,41.925,106.25,155.15,24.45,22.96,143.06,68.77,92.66,61.05,55.25,63.19,345.85,17.265,13.555,23.0422,34.225,25.1564,17.5383,87.3739,42.195,66.02,58.95,50.6,225.4,13.23,105.45,7.496,19.35
10-06-2015,167.8,52.81,#N/A N/A,45.025,84.6316,13.64,22.53,26.795,55.56,61.32,77.69,30.135,41.545,108.8,161.55,25.35,23.23,149.05,68.84,93.91,61.86,56.02,64.58,354.7,17.53,13.825,23.2749,34.76,25.2909,17.7986,88.7563,42.985,65.96,60.53,51.48,227.1,13.485,106.8,7.498,19.35
11-06-2015,168.75,53.02,#N/A N/A,45.4,85.7659,13.766,22.775,27.3,56.02,61.58,78.98,30.34,41.78,109.6,165.5,25.2375,23.05,147.84,70.13,95.05,62.04,55.4,64.13,360.6,17.52,14.09,22.6444,34.685,24.4749,18.1264,89.9598,43.425,65,61.45,52.02,232.65,13.465,106.75,7.487,19.56
12-06-2015,165.65,52.3,#N/A N/A,44.56,84.0828,13.664,22.51,27.03,55.3,60.68,78.14,29.98,41.025,107.9,162.35,24.8,22.525,148.63,68.82,94.67,61.63,55.22,63.41,358.6,17.16,13.9,22.3839,34.3,24.4795,17.842,88.7165,42.895,63.77,60.44,51.88,227.1,13.395,105,7.448,19.44
15-06-2015,163.2,51.12,#N/A N/A,43.885,82.5095,13.37,22.085,26.415,53.96,60.34,76.97,29.53,40.485,105.1,159.85,24.535,22.255,146.82,67.46,92.45,60.91,54.19,62.16,352.55,16.89,13.55,22.2024,33.895,24.4193,17.3165,86.6279,41.91,63.59,59.29,51.03,225.05,13.045,104.5,7.202,19
16-06-2015,164.95,51.65,#N/A N/A,43.905,82.9119,13.532,22.52,26.805,53.67,60.84,78.11,29.88,40.67,106.35,160.3,24.535,22.395,144.45,67.97,93.54,61.21,54.37,63.27,352.5,16.91,13.665,22.0163,34.18,24.4332,17.519,87.1053,41.925,63.63,59.37,51.06,227.15,13.065,105.05,7.391,18.615
17-06-2015,162.35,50.99,#N/A N/A,44.39,82.6924,13.376,22.365,26.4,53.14,60.01,77.83,28.43,40.235,104.9,159.2,24.1925,22.155,142.73,67.19,91.74,60.65,53.77,62.39,347.95,16.915,13.435,21.7116,33.615,24.3868,17.249,85.5737,41.645,63.04,57.96,50.07,222.1,12.975,104.45,7.209,18.835
18-06-2015,163.75,51.6,#N/A N/A,44.3,83.2412,13.316,22.535,25.3,53.08,59.52,78.57,28.75,40.45,105.9,159.9,24.1125,22.035,143.24,67.47,90.66,61.12,54.03,63.11,346.95,17.06,13.685,21.2858,33.415,24.41,17.4563,85.9019,42.055,63.27,57.69,50.42,224.15,13.065,105,7.116,18.6
19-06-2015,161.8,52.2,#N/A N/A,44.125,82.8753,13.416,22.42,25.475,53.61,59.11,79.12,28.51,40.625,106.25,159.95,24.4575,21.91,143.8,67.36,92.15,62.24,54.43,63.48,344.4,17.07,13.81,21.4022,33.62,24.5723,17.4949,85.9516,42.405,63.06,58.94,50.75,224.8,13.175,104.8,7.052,18.155
22-06-2015,168.2,54.34,#N/A N/A,45.42,86.827,13.592,23.3,25.625,56.32,60.61,81.09,29.66,42.74,110.2,168,24.8375,22.3,148.45,68.53,95.48,63.21,55.52,64.51,356.25,17.655,14.845,21.7511,38.07,24.9802,18.271,90.3079,43.75,65.51,60.64,52.2,235.1,13.855,105.6,7.354,18.26
23-06-2015,169.7,54.8,#N/A N/A,46.045,87.5588,13.686,23.375,26.595,57.36,60.96,82.54,29.955,43.245,111.75,170.35,24.9775,22.615,149.7,69.5,97.42,64.03,56.25,65.49,359.25,17.785,14.95,21.9047,38.02,24.7948,18.5073,91.571,44.335,65.87,61.99,52.69,236.4,14.07,106.55,7.57,19
24-06-2015,169,54.82,#N/A N/A,46.51,87.2661,13.686,23.455,26.6,56.86,60.47,81.27,30.07,42.79,112.05,170.85,24.65,22.725,150.77,68.71,96.69,63.57,56.83,65.23,357.55,17.73,14.455,22.0535,34.5,24.5537,18.5073,92.0981,44.03,66.02,61.69,52.52,236.65,14.05,108,7.462,18.785
25-06-2015,167.45,54.95,#N/A N/A,46.445,87.4856,13.79,23.53,27.44,57.03,60.57,82.57,29.98,42.945,112,170.9,24.7425,22.73,150.59,69.67,97.4,63.49,56.52,65.59,356.85,17.605,14.545,21.6953,35.155,24.614,18.541,91.8495,44.135,65.82,61.83,52.93,234.9,14.07,107.6,7.608,18.565
26-06-2015,168.65,55.05,#N/A N/A,46.42,87.7783,13.64,23.855,27.795,57.63,60.66,82.75,30.27,42.825,112.95,171.2,24.6425,22.745,151.8,69.57,98.11,63.51,56.27,65.69,357.65,17.49,14.67,21.6208,34.8,24.5815,18.4976,92.4562,44.455,65.59,61.51,53.15,239,14.135,108.2,7.717,18.9
