Date,UNH UN Equity,GS UN Equity,MSFT UQ Equity,HD UN Equity,CAT UN Equity,AMGN UQ Equity,MCD UN Equity,V UN Equity,CRM UN Equity,BA UN Equity,HON UQ Equity,AAPL UQ Equity,CVX UN Equity,TRV UN Equity,WMT UN Equity,JNJ UN Equity,AXP UN Equity,PG UN Equity,JPM UN Equity,IBM UN Equity,MRK UN Equity,NKE UN Equity,MMM UN Equity,DIS UN Equity,KO UN Equity,CSCO UQ Equity,DOW UN Equity,INTC UQ Equity,VZ UN Equity,WBA UQ Equity
06-08-2020,314.06,204.25,216.35,269.37,134.39,241.55,203.18,198.77,207.79,172.2,#N/A N/A,113.903,87.47,113.74,129.35,147.55,95.92,132.71,97.24,120.4653,77.2833,100.45,156,130.82,47.48,47.77,42.05,48.57,57.83,40.89
07-08-2020,317.03,208.27,212.48,271.64,134.92,240.69,204.6,196.36,201.05,170.02,#N/A N/A,111.113,86.8,117.36,129.97,148.6,99.16,133.55,99.38,119.3573,77.2547,101.86,158.33,129.93,47.8,47.43,42.63,48.03,58.53,41.52
10-08-2020,319.1,209.38,208.25,274.73,142.02,238.17,204.12,196.79,197.16,179.41,#N/A N/A,112.728,89.73,119.12,131.88,148.03,101.62,134.1,100.64,121.4109,77.1498,105.41,161.44,128.79,47.72,47.73,44.8,49.22,58.99,42.86
11-08-2020,315.55,211.06,203.38,274.92,142.53,234.65,205,197.77,191.99,180.13,#N/A N/A,109.375,89.62,119.92,130.2,146.97,103.26,133.23,103.82,121.067,77.1498,105.12,163.38,130.49,47.93,47.19,44.5,48.19,58.51,41.85
12-08-2020,322.27,212.13,209.19,281.58,142.57,241.72,206.02,198.74,192.62,175.44,#N/A N/A,113.01,90.72,118.86,131.89,149.66,101.68,135.46,102.94,121.0193,78.8375,105.22,164.26,131.79,48.43,48.1,44.28,49.19,58.6,41.82
13-08-2020,321.52,208.39,208.7,281.66,140.67,240.46,206.49,197.58,195.14,174.73,#N/A N/A,115.01,89.82,119.27,131.85,148,100.42,135.78,102.37,119.4242,79.6576,106.52,165.86,130.96,48.38,42.72,44.43,48.56,58.52,41
14-08-2020,323.7,207.97,208.9,280.55,139.96,239.71,207.03,196.64,193.46,178.08,#N/A N/A,114.908,90.35,118.6,132.6,148.24,100.41,135.1,102.41,119.6534,79.6004,106.43,166.1,130.53,48.45,42.5,44.87,48.89,58.79,41.91
17-08-2020,320.51,203.07,210.28,288.24,138.72,243.01,208.67,199.43,196.74,172.01,#N/A N/A,114.608,90.77,115.91,135.6,148.99,97.55,135.5,99.71,118.8606,80.8209,105.66,164.71,129.37,48.21,42.09,44.46,48.93,58.78,41.175
18-08-2020,316.81,201.31,211.49,285,138.37,241.5,210.32,199.01,204.01,170.23,#N/A N/A,115.563,87.63,114.93,134.71,150.09,96.67,136.51,98.32,119.3191,80.6302,106.97,164.38,128.92,48.42,41.98,44.71,48.65,59.18,40.76
19-08-2020,315.4,203.02,209.7,282.86,138.02,240.49,209.51,200.99,205.11,169.27,#N/A N/A,115.708,86.39,113.2,132.41,150.39,96.89,135.77,98.55,118.2875,81.0783,108.39,163.97,127.77,47.37,41.87,44.64,48.33,59.05,40.25
20-08-2020,313.33,201.85,214.58,280.68,137.48,238.73,209.88,204.15,209.51,169.58,#N/A N/A,118.275,84.81,112.53,130.57,151.42,96.72,136.85,97.37,117.6284,81.0783,108.01,162.97,128.12,47.35,42.31,43.69,49.17,58.96,39.71
21-08-2020,314.14,202.43,213.02,283.23,138.43,237.64,211.57,204.13,207.53,167.5,#N/A N/A,124.37,85.08,111.83,131.63,152.76,96.15,137.44,97.32,117.638,81.0306,109.75,161.71,127.44,47.28,42.25,43.59,49.28,58.99,39.46
24-08-2020,308.84,207.34,213.69,286.75,141.68,235.57,212.62,206.41,208.46,178.27,#N/A N/A,125.858,87.2,114.9,131.33,152.15,99.33,138.51,100.06,120.045,81.4502,111.83,163.53,130.69,47.97,42.18,46.12,49.14,59.57,39.74
25-08-2020,312.22,206,216.47,286.13,141.15,248.22,212.65,208.1,216.05,174.73,#N/A N/A,124.825,86.13,115.62,130.63,152.06,99.05,139.06,100.5,119.0516,81.6981,111.51,163.1,129.79,47.91,41.96,45.59,49.43,59.42,39.5
26-08-2020,308.82,207.22,221.15,291.93,141.83,250.18,213.76,210.26,272.32,171.9,#N/A N/A,126.523,84.78,113.54,130.7,152.3,98.4,138.39,99.09,118.6027,81.5646,111.53,163.9,132.18,48.16,42.25,46.34,49.55,59.46,38.67
27-08-2020,311.67,210.15,226.58,288.63,143.37,252.81,212.19,211.03,276.32,174.2,#N/A N/A,125.01,84.91,117.18,136.63,152.98,101.53,138.21,102.35,119.0612,81.8316,110.84,164.08,133.73,48.23,42.29,46.16,49.4,59.43,39.34
28-08-2020,314.37,207.71,228.91,286.29,143.63,253.12,214.91,215.71,271.1,175.8,#N/A N/A,124.808,85.63,115.89,140.3,153.64,102.54,138.77,102.77,119.4624,81.6695,112.29,165.66,135.54,49.83,42.2,46.05,50.43,59.26,38.76
31-08-2020,312.55,204.87,225.53,285.04,142.31,253.32,213.52,211.99,272.65,171.82,#N/A N/A,129.04,83.93,116.04,138.85,153.41,101.59,138.33,100.19,117.7813,81.3072,111.89,163.02,131.87,49.53,42.22,45.12,50.95,59.27,38.02
01-09-2020,312.83,205.46,227.27,285.94,146.05,250.86,212.69,213.35,281.25,172.1,#N/A N/A,134.18,83.08,114.69,147.59,151.52,102.47,138.18,100.14,117.8672,80.5062,114.84,164.8,133.55,49.12,42.03,47.27,50.79,59.16,36.76
02-09-2020,320.24,210.04,231.65,287.2,149.27,258.12,216.23,216.48,276.69,174.78,#N/A N/A,131.4,83.19,117.48,147.68,153.83,104.4,140.51,101.65,122.4329,82.89,116.8,169.51,135.39,51.19,42.42,49.22,52.25,60.53,37.17
